aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
580	580	497	529	0	241	250	0	1	2844
581	581	4459	4620	0	2394	2440	0	2	2085
582	582	76	99	0	17	26	0	0	661
583	583	275	376	0	97	119	0	0	1874
584	584	475	820	0	161	271	0	2	256
585	585	302	401	0	103	128	0	2	780
586	586	416	481	0	184	195	0	0	123
587	587	153	218	0	47	78	0	7	210
588	588	138	323	0	40	108	0	1	210
589	589	218	438	0	60	131	0	3	210
590	590	140	436	0	42	108	0	0	210
591	591	183	376	0	60	140	0	18	210
592	592	391	600	0	104	174	0	1	210
593	593	420	868	0	148	238	0	6	371
594	594	288	366	0	68	140	0	0	371
595	595	159	264	0	45	93	0	3	210
596	596	150	326	0	46	106	0	0	371
597	597	399	529	0	171	207	0	11	371
598	598	550	967	0	257	408	0	10	371
599	599	261	453	0	85	157	0	0	371
600	600	339	697	0	135	230	0	6	371
601	601	444	778	0	126	260	0	2	371
602	602	186	391	0	46	108	0	0	371
603	603	73	96	0	16	24	0	0	371
604	604	90	113	0	22	30	0	1	371
605	605	241	377	0	79	124	0	1	371
606	606	784	1209	0	342	517	0	1	371
607	607	149	156	0	24	37	0	0	371
608	608	161	159	2	28	39	0	0	371
609	609	402	890	0	126	340	0	20	1874
610	610	681	748	0	336	348	0	1	110
611	611	160	269	0	45	81	0	1	248
612	612	382	850	0	98	225	0	1	248
613	613	430	818	0	141	303	0	6	248
614	614	621	1067	0	233	403	0	5	219
615	615	278	558	0	84	207	0	2	745
616	616	271	532	0	66	144	0	6	248
617	617	417	879	0	141	292	0	3	330
618	618	292	592	0	77	197	0	1	330
619	619	692	955	0	288	374	0	1	290
620	620	55	63	0	10	13	0	0	64
621	621	511	649	0	170	238	0	4	356
622	622	396	598	0	115	183	0	3	356
623	623	454	770	0	134	259	0	7	202
624	624	631	1108	0	247	427	0	2	290
625	625	359	592	0	113	191	0	5	356
626	626	332	651	0	103	245	0	6	745
627	627	290	406	0	82	119	0	0	1019
628	628	288	548	0	86	184	0	17	290
629	629	188	334	0	43	93	0	0	676
630	630	61	63	0	12	13	0	0	64
631	631	55	63	0	10	13	0	2	64
632	632	79	85	0	18	21	0	0	35
633	633	328	439	0	101	142	0	2	242
634	634	566	842	0	205	381	0	7	272
635	635	169583	169609	0	72038	72046	0	0	164
636	636	226	258	0	61	88	0	2	1019
